ps,category,ideas,cap,org,theme,deadline,title
SIH26116,Software,1,500,Autodesk,Miscellaneous,30 September 2026,"Urban Mixed-Use Design Challenge-Design a centrally located mixed-use building in Autodesk Revit with commercial spaces (Ground + 1st floor) and residential units (up to 8 floors). 1 Level of Basement (Car Parking + EV Charging), Total (B+G+9)(Note: Plot size and all required dimensions may be assumed by students (in mm units)."
SIH26117,Software,49,500,Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,30 September 2026,Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work
SIH26118,Hardware,7,500,Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,30 September 2026,Passive Colorimetric H2S Exposure-Dosimeter Wristband with AI-Based Quantitative Reading
SIH26119,Software,5,500,Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,30 September 2026,Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX)
SIH26120,Software,5,500,Oil India Limited,Smart Automation,30 September 2026,Digital Twin for Well-to-Surface Optimization of Cyclic Steam Stimulation (CSS) and Sucker Rod Pump (SRP) Operations for Heavy Oil Wells of Baghewala Field.
SIH26121,Software,4,500,Oil India Limited,Smart Automation,30 September 2026,eRTMAC-NWIS (Nearby Wells Intelligence System): An AI-Powered Offset Well Knowledge and Decision Support Platform for Drilling Operations
SIH26122,Software,14,500,Oil India Limited,Smart Automation,30 September 2026,Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge)
SIH26123,Software,10,500,Bharat Electronics Limited,Smart Automation,30 September 2026,Edge-AI Based Distributed Fleet Coordination for Autonomous Mobile Robots (AMRs) in Smart Warehouses
SIH26124,Software,24,500,Bharat Electronics Limited,Smart Automation,30 September 2026,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet
SIH26125,Software,24,500,Bharat Electronics Limited,Blockchain & Cybersecurity,30 September 2026,"Blockchain-Based Secure Platform for Identity,Access Control, and Digital Asset Management"
SIH26126,Software,13,500,Bharat Electronics Limited,Smart Automation,30 September 2026,Vision Based Autonomous Navigation for Unmanned Ground Vehicle for Outdoor environment
SIH26127,Software,29,500,Bharat Electronics Limited,Smart Automation,30 September 2026,City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics
SIH26128,Software,21,500,Government Of Maharashtra,MedTech / BioTech / HealthTech,30 September 2026,"Efficient systems for early detection,prevention,and management of livestock diseases and animal health issues"
SIH26129,Software,30,500,Government Of Maharashtra,Miscellaneous,30 September 2026,"System integration and interoperability among government digital platforms,resulting in fragmented service delivery"
SIH26130,Software,14,500,Government Of Maharashtra,Miscellaneous,30 September 2026,"Efficiency in streamlining industrial approvals,compliance processes,and access to government support services"
SIH26131,Software,102,500,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",30 September 2026,Early detection and management of crop diseases and pest infestations
SIH26132,Software,82,500,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",30 September 2026,Strengthening market linkages and price discovery for farmers
SIH26133,Software,85,500,Government Of Maharashtra,MedTech / BioTech / HealthTech,30 September 2026,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas"
SIH26134,Software,28,500,Government Of Maharashtra,Miscellaneous,30 September 2026,Challenges in aligning skill development programs with industry requirements and emerging job market demands
SIH26135,Software,19,500,Government Of Maharashtra,Miscellaneous,30 September 2026,"Difficulties in tracking employment outcomes,skill gaps, and the impact of skilling initiatives"
SIH26136,Software,22,500,Government Of Maharashtra,Miscellaneous,30 September 2026,"Startup friendly public procurement mechanism that enables government departments to identify,pilot, procure,and scale innovative solutions from eligible startups"
SIH26137,Software,14,500,Egreen Quanta,Transportation & Logistics,30 September 2026,Quantum-Inspired Intelligent Traffic Route Optimization in Transportation Systems Using Metaheuristic Optimization
SIH26138,Software,7,500,Egreen Quanta,Clean & Green Technology,30 September 2026,Quantum-Inspired Fuel Consumption Prediction and Green Fleet Optimization
SIH26139,Software,19,500,Egreen Quanta,MedTech / BioTech / HealthTech,30 September 2026,Hybrid Quantum Machine Learning Platform for Early Disease Detection
SIH26140,Software,8,500,Egreen Quanta,Smart Education,30 September 2026,AI-Based Interactive Quantum Algorithm Learning Platform
SIH26141,Software,6,500,Egreen Quanta,Blockchain & Cybersecurity,30 September 2026,Quantum-Inspired Cyber Threat Detection for Digital Signature Security
SIH26142,Software,10,500,National Technical Research Organisation (NTRO),Space Technology,30 September 2026,Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries
SIH26143,Software,43,500,National Technical Research Organisation (NTRO),Disaster Management,30 September 2026,Leveraging satellite imagery to determine Oil spills at sea along with AIS data correlations to identify vessel responsible for the spill.
SIH26144,Hardware,2,500,National Technical Research Organisation (NTRO),Smart Automation,30 September 2026,Design & Development of a High-Sensitivity Micro barometer Infrasound sensor
SIH26145,Software,27,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,AI-Based Detection of Cyber Threats in Unidirectional IP Traffic
SIH26146,Software,9,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,AI-Powered Monitoring & Analysis of Bitcoin Transaction Traffic
SIH26147,Software,4,500,National Technical Research Organisation (NTRO),Space Technology,30 September 2026,Automated model for analysis of .IQ and .wav files along with signal parameter extraction
SIH26148,Software,2,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions
SIH26149,Software,13,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization
SIH26150,Software,8,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,"Development of a Multi-Vendor DVR/NVR Forensic Analysis Tool for Standardized Acquisition, Recovery, and Analysis of Surveillance Evidence."
SIH26151,Software,9,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Dark web threat actor de-anonymization
SIH26152,Software,20,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Social Media Analytics
SIH26153,Software,17,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,AI based Network Attack Forecasting from Network Traffic Data
SIH26154,Software,19,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Gen AI Platform for Automated Content Transformation
SIH26155,Software,8,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,AI-Driven Multi-Vendor Network Security Compliance Auditor
SIH26156,Software,9,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Universal Log Pre-processing Framework
SIH26157,Software,7,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,Supervisory Analytics Tool for SOC Assessment (SAT-SA)
SIH26158,Software,13,500,National Technical Research Organisation (NTRO),Robotics and Drones,30 September 2026,Single-Pass Drone Video to Accurate 3D Model Generation System
SIH26159,Software,3,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,SecureMailScope: AI-Assisted Cryptographic Security Posture Assessment for Secure Email Communications
SIH26160,Software,3,500,National Technical Research Organisation (NTRO),Blockchain & Cybersecurity,30 September 2026,AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework
SIH26161,Software,6,500,National Technical Research Organisation (NTRO),Disaster Management,30 September 2026,Dam Break Inundation Modelling Using Hydrodynamic Modelling of any River
